REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,LNDYAMHRTOT,1,2038,0.062072967
GLOBAL,LNDYAMHRTOT,1,2039,0.06245033
GLOBAL,LNDYAMHRTOT,1,2040,0.062192198
GLOBAL,LNDYAMHRTOT,1,2041,0.062182967
GLOBAL,LNDYAMHRTOT,1,2042,0.062173736
GLOBAL,LNDYAMHRTOT,1,2043,0.062164615
GLOBAL,LNDYAMHRTOT,1,2044,0.062155385
GLOBAL,LNDYAMHRTOT,1,2045,0.062146154
GLOBAL,LNDYAMHRTOT,1,2046,0.062083077
GLOBAL,LNDYAMHRTOT,1,2047,0.06202
GLOBAL,LNDYAMHRTOT,1,2048,0.061956923
GLOBAL,LNDYAMHRTOT,1,2049,0.061893846
GLOBAL,LNDYAMHRTOT,1,2050,0.061830769
GLOBAL,LNDSGCHRTOT,1,2021,1.5690909
GLOBAL,LNDSGCHRTOT,1,2022,1.5759273
GLOBAL,LNDSGCHRTOT,1,2023,1.5827727
GLOBAL,LNDSGCHRTOT,1,2024,1.5896091
GLOBAL,LNDSGCHRTOT,1,2025,1.5964455
GLOBAL,LNDSGCHRTOT,1,2026,1.6016
GLOBAL,LNDSGCHRTOT,1,2027,1.6067545
GLOBAL,LNDSGCHRTOT,1,2028,1.6119091
GLOBAL,LNDSGCHRTOT,1,2029,1.6170636
GLOBAL,LNDSGCHRTOT,1,2030,1.6222182
GLOBAL,LNDSGCHRTOT,1,2031,1.6257364
GLOBAL,LNDSGCHRTOT,1,2032,1.6292636
GLOBAL,LNDSGCHRTOT,1,2033,1.6327909
GLOBAL,LNDSGCHRTOT,1,2034,1.6363182
GLOBAL,LNDSGCHRTOT,1,2035,1.6398364
GLOBAL,LNDSGCHRTOT,1,2036,1.6414182
GLOBAL,LNDSGCHRTOT,1,2037,1.643
GLOBAL,LNDSGCHRTOT,1,2038,1.6445818
GLOBAL,LNDSGCHRTOT,1,2039,1.6461545
GLOBAL,LNDSGCHRTOT,1,2040,1.6477364
GLOBAL,LNDSGCHRTOT,1,2041,1.6474909
GLOBAL,LNDSGCHRTOT,1,2042,1.6472455
GLOBAL,LNDSGCHRTOT,1,2043,1.647
GLOBAL,LNDSGCHRTOT,1,2044,1.6467636
GLOBAL,LNDSGCHRTOT,1,2045,1.6465182
GLOBAL,LNDSGCHRTOT,1,2046,1.6448455
GLOBAL,LNDSGCHRTOT,1,2047,1.6431727
GLOBAL,LNDSGCHRTOT,1,2048,1.6415
GLOBAL,LNDSGCHRTOT,1,2049,1.6398273
GLOBAL,LNDSGCHRTOT,1,2050,1.6381636
GLOBAL,LNDOTHHRTOT,1,2021,0.067992391
GLOBAL,LNDOTHHRTOT,1,2022,0.068288696
