REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D2,PWRWONFJIXX01,1,2031,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2032,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2033,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2034,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2035,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2036,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2037,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2038,0.0678024
GLOBAL,S1D2,RNWBIOFJIXX,1,2021,8.3965861
GLOBAL,S1D2,RNWBIOFJIXX,1,2023,4.1124404
GLOBAL,S1D2,RNWBIOFJIXX,1,2024,4.4206291
GLOBAL,S1D2,RNWBIOFJIXX,1,2025,4.6902943
GLOBAL,S1D2,RNWBIOFJIXX,1,2026,5.2681483
GLOBAL,S1D2,RNWBIOFJIXX,1,2027,5.8460023
GLOBAL,S1D2,RNWBIOFJIXX,1,2028,6.3665331
GLOBAL,S1D2,RNWBIOFJIXX,1,2029,5.2801676
GLOBAL,S1D2,RNWBIOFJIXX,1,2030,4.84194
GLOBAL,S1D2,RNWBIOFJIXX,1,2031,3.0350123
GLOBAL,S1D2,RNWBIOFJIXX,1,2032,1.2046752
GLOBAL,S1D2,RNWBIOFJIXX,1,2033,1.2046752
GLOBAL,S1D2,RNWBIOFJIXX,1,2034,1.4133757
GLOBAL,S1D2,RNWBIOFJIXX,1,2035,1.5126453
GLOBAL,S1D2,RNWBIOFJIXX,1,2036,3.0912924
GLOBAL,S1D2,RNWBIOFJIXX,1,2037,4.0021615
GLOBAL,S1D2,RNWBIOFJIXX,1,2038,3.6699668
GLOBAL,S1D2,RNWBIOFJIXX,1,2039,4.6609203
GLOBAL,S1D2,RNWBIOFJIXX,1,2040,6.8023458
GLOBAL,S1D2,RNWBIOFJIXX,1,2041,8.7077602
GLOBAL,S1D2,RNWBIOFJIXX,1,2042,8.2636765
GLOBAL,S1D2,RNWBIOFJIXX,1,2043,10.131631
GLOBAL,S1D2,RNWBIOFJIXX,1,2044,12.224142
GLOBAL,S1D2,RNWBIOFJIXX,1,2045,14.213454
GLOBAL,S1D2,RNWBIOFJIXX,1,2046,14.603809
GLOBAL,S1D2,RNWBIOFJIXX,1,2047,14.913433
GLOBAL,S1D2,RNWBIOFJIXX,1,2048,8.9673689
GLOBAL,S1D2,RNWBIOFJIXX,1,2049,13.711109
GLOBAL,S1D2,RNWBIOFJIXX,1,2050,15.235335
GLOBAL,S1D2,RNWHYDFJIXX,1,2021,1.1803192
GLOBAL,S1D2,RNWHYDFJIXX,1,2022,2.3852916
GLOBAL,S1D2,RNWHYDFJIXX,1,2023,2.3852916
GLOBAL,S1D2,RNWHYDFJIXX,1,2024,2.3852916
GLOBAL,S1D2,RNWHYDFJIXX,1,2025,2.3852916
